COSMIC_ID	GENE_NAME	UNIPROT	FUNCTION	TYPE	IN_PKN	MUTATION_TARGET
909718	MET	P08581	gain	cna	MET	GRB2,GAB1
909718	PPP1R3A	Q16821	gain	cna	NA	NA
909718	TES	Q9UGI8	gain	cna	NA	NA
909718	WNT2	P09544	gain	cna	NA	NA
909755	ATXN10	Q9UBB4	loss	cna	NA	NA
909755	BIK	Q13323	loss	cna	NA	NA
909755	CERK	Q8TCT0	loss	cna	NA	NA
909755	CYB5R3	P00387	loss	cna	NA	NA
909755	EFCAB6	Q5THR3	loss	cna	NA	NA
909755	GTSE1	Q9NYZ3	loss	cna	NA	NA
909755	KIAA0930	Q6ICG6	loss	cna	NA	NA
909755	NDUFA6	P56556	loss	cna	NA	NA
909755	NFAM1	Q8NET5	loss	cna	NA	NA
909755	NUP50	Q9UKX7	loss	cna	NA	NA
909755	PACSIN2	Q9UNF0	loss	cna	NA	NA
909755	POLDIP3	Q9BY77	loss	cna	NA	NA
909755	PPARA	Q07869	loss	cna	NA	NA
909755	PRR5	P85299	loss	cna	NA	NA
909755	SAMM50	Q9Y512	loss	cna	NA	NA
909755	SEPT3	Q9UH03	loss	cna	NA	NA
909755	SULT4A1	Q9BR01	loss	cna	NA	NA
909755	TBC1D22A	Q8WUA7	loss	cna	NA	NA
909755	WNT7B	P56706	loss	cna	NA	NA
909740	SMAD4	Q13485	loss	cna	NA	NA
909746	SMAD4	Q13485	loss	cna	NA	NA
905962	SMAD4	Q13485	loss	cna	NA	NA
909755	SMAD4	Q13485	loss	cna	NA	NA
1789883	PDE4D	Q08499	loss	cna	NA	NA
909755	PDE4D	Q08499	loss	cna	NA	NA
910569	APC	P25054	loss	cna	NA	cJun
1789883	APC	P25054	loss	cna	NA	cJun
910569	CAMK4	Q16566	loss	cna	NA	NA
1789883	CAMK4	Q16566	loss	cna	NA	NA
910569	DCP2	Q8IU60	loss	cna	NA	NA
1789883	DCP2	Q8IU60	loss	cna	NA	NA
910569	EFNA5	P52803	loss	cna	NA	NA
1789883	EFNA5	P52803	loss	cna	NA	NA
910569	FER	P16591	loss	cna	NA	NA
1789883	FER	P16591	loss	cna	NA	NA
910569	KCNN2	Q9H2S1	loss	cna	NA	NA
1789883	KCNN2	Q9H2S1	loss	cna	NA	NA
910569	MCC	P23508	loss	cna	NA	NA
1789883	MCC	P23508	loss	cna	NA	NA
910569	NREP	Q16612	loss	cna	NA	NA
1789883	NREP	Q16612	loss	cna	NA	NA
910569	PAM	P19021	loss	cna	NA	NA
1789883	PAM	P19021	loss	cna	NA	NA
910569	PJA2	O43164	loss	cna	NA	NA
1789883	PJA2	O43164	loss	cna	NA	NA
910569	TSLP	Q969D9	loss	cna	NA	NA
1789883	TSLP	Q969D9	loss	cna	NA	NA
910569	WDR36	Q8NI36	loss	cna	NA	NA
1789883	WDR36	Q8NI36	loss	cna	NA	NA
910569	YTHDC2	Q9H6S0	loss	cna	NA	NA
1789883	YTHDC2	Q9H6S0	loss	cna	NA	NA
910569	FHIT	P49789	loss	cna	NA	NA
1789883	FHIT	P49789	loss	cna	NA	NA
905936	FHIT	P49789	loss	cna	NA	NA
905939	FHIT	P49789	loss	cna	NA	NA
909740	FHIT	P49789	loss	cna	NA	NA
1674021	FHIT	P49789	loss	cna	NA	NA
909746	FHIT	P49789	loss	cna	NA	NA
909748	FHIT	P49789	loss	cna	NA	NA
905962	FHIT	P49789	loss	cna	NA	NA
909755	FHIT	P49789	loss	cna	NA	NA
